predicted_utilization,dynamic_tariff,baseline_tariff,revenue_dynamic,revenue_baseline,simulated_utilization
0.3147860335901929,10.854864806164631,15.0,63.320044699008726,87.499999995,0.3147860335901929
1.0,22.5,15.0,223.12500000749998,148.750000005,0.85
1.0,22.5,15.0,3723.3062505000003,2482.2041670000003,0.85
1.0,22.5,15.0,223.12500000749998,148.750000005,0.85
1.0,22.5,15.0,144.3750000075,96.250000005,0.85
1.0,22.5,15.0,1161.5625,774.375,0.85
1.0,22.5,15.0,669.375,446.25,0.85
1.0,22.5,15.0,288.749999925,192.49999995000002,0.85
0.9966666666666668,22.5,15.0,173.4000000075,115.600000005,0.8471666666666667
0.6666666666666659,19.299999999999983,15.0,45.033333326899964,34.999999995,0.6666666666666659
0.0186274509803921,10.5,15.0,3.0625000035,4.3750000049999995,0.02235294117647052
0.9991666666666664,22.5,15.0,131.2499999925,87.499999995,0.8492916666666664
1.0,22.5,15.0,275.625,183.75,0.85
